dept_id,name,salary,city,state,country
e14dbf8b-bc00-44fe-be2d-f0d6c38eb06a,DEPT-72,966,Kevinfort,Louisiana,Japan
d55c648f-ad41-4db6-a33e-d3741ba09432,DEPT-99,5653059,North Matthew,Mississippi,Austria
e357388e-37a0-4d6d-b0f3-71d5d8dc647e,DEPT-61,55,New Stephanieberg,North Dakota,China
b1d79c2c-7ec6-4757-b854-5315536e2902,DEPT-66,71,North Nathan,Vermont,Timor-Leste
1c51904e-f157-4d84-bb41-905e4430b7e9,DEPT-99,2641866,Seanland,Indiana,Chad
634986a9-1e46-4795-968e-d026bc15e248,DEPT-14,9216,East Patrick,Georgia,United States Minor Outlying Islands
85eb9cf4-ed8a-42a4-944b-5c8de960f77f,DEPT-73,19596467,Wolfeport,West Virginia,Bulgaria
aa1637e9-c0be-4cfe-a422-718316568cc5,DEPT-10,80083110,Lake Sarahshire,New Jersey,Estonia
5bf9e616-8b9f-4e0d-aa30-a16d635d41d6,DEPT-72,33,North Alexisburgh,North Dakota,Botswana
91050f7d-70da-403c-8439-dc11f62c94ae,DEPT-98,550927,Michaelport,Ohio,Canada
a13cd8d1-5792-408f-b107-eb8d4eab05e1,DEPT-75,41942,Kimberlymouth,Illinois,Mayotte
2e0b4745-bf7d-4952-9da6-d776c69c4912,DEPT-95,874,New Michael,Louisiana,Guatemala
2d1a99ad-ad98-438f-a663-eaf3e3c7e76a,DEPT-65,6168,Port Brittanystad,West Virginia,Saint Barthelemy
d307cc6e-02ae-4d80-9886-8a30aa9c51f5,DEPT-42,7338,Port Barry,Colorado,Bahamas
07016511-3fce-4b9c-b001-18580ab2cc8a,DEPT-18,2014980,Ramosport,West Virginia,Niger
929bb4bd-3441-4e54-9e1b-40414d610412,DEPT-71,482317,Kington,Arizona,Zambia
6f9cc027-2b76-4ac9-b149-546ea8550ffe,DEPT-54,4,Suarezfurt,Hawaii,Moldova
fb8dd9be-9799-491d-8a34-5829b16041ae,DEPT-46,66841391,Orozcofurt,Georgia,Samoa
f7006a24-0229-4546-b054-fcebe55453b6,DEPT-32,90264304,East Christopher,Texas,Oman
f48d97b5-116b-4abf-ace3-d367e54b7dec,DEPT-98,606548,East Eric,New York,Mongolia
f9000600-06e6-44cf-9671-679f5dfa8397,DEPT-03,3918,North Chelsea,Nebraska,British Virgin Islands
f4235cc3-a28d-4ea9-b3ba-a6d1a4d7ffa3,DEPT-06,9234,Petersonville,New Mexico,Sweden
52688099-c564-4e0f-bc3c-f1434b8e05a6,DEPT-93,9088,Lake Gilbert,South Dakota,Taiwan
d8a9d040-905a-4d36-a7af-8d1cfe5513b2,DEPT-47,4,Rebeccaside,North Dakota,United States Virgin Islands
7ff7ee50-5c6e-429e-9308-e25eee4e596a,DEPT-00,26656714,Lake Jessicamouth,Connecticut,Lao People's Democratic Republic
db5d77db-0d8d-45a9-8c0f-cc493741f760,DEPT-35,129,Taylorchester,Utah,Mauritania
226ab87e-4a9f-4a82-b64a-dacd482dd7c6,DEPT-27,695269,Harrisbury,North Dakota,Qatar
21832fd9-666f-41d4-8db7-3c80be053000,DEPT-61,268269835,New Michaelburgh,New Mexico,Lao People's Democratic Republic
65bd9123-6962-4c6b-bf60-3f5064a3d731,DEPT-45,315325454,Lake Brandon,Hawaii,Lao People's Democratic Republic
475c7686-4667-43c5-8877-40670cfdddd7,DEPT-61,6249173,East Julieview,Louisiana,Netherlands Antilles
10285ec2-8e0f-4dd4-872e-771406da01f2,DEPT-53,554,Joyberg,Colorado,India
1b24139c-8c2a-4276-b6f9-3e02656649dd,DEPT-80,75921,South Matthewville,Connecticut,Solomon Islands
57e60c73-21c2-48cf-9060-0028bec58666,DEPT-14,3581506,North Christopherhaven,Nebraska,Estonia
51a21be0-d1a6-4603-bfce-db1d720a6466,DEPT-15,18,Martinview,New York,Guinea
1ff7680a-2ac6-4bea-8eb5-2f8ea92fa875,DEPT-69,62452293,West Reginaborough,Indiana,Eritrea
f474b2a4-7a55-4fde-87f2-f0b9b4817eec,DEPT-69,939,New Christine,North Carolina,Cayman Islands
f6bf99ef-6869-42f5-9041-4bd8381e8487,DEPT-73,54,North Daniel,Nevada,Seychelles
c52cca05-2a26-458a-9375-90cd8ecabfd4,DEPT-09,768,Reyeshaven,Wyoming,Turks and Caicos Islands
7e1cfa2d-ff33-47a4-8b5d-b2943170f724,DEPT-90,76776290,Brendaberg,Arkansas,Norway
d8158548-44f3-40c4-b644-d594f6d02a23,DEPT-89,161137,Vargasstad,California,Guernsey
cd7c857f-229c-4f33-8972-ec29bf28def1,DEPT-62,466,Lake Tanya,Virginia,Bolivia
eb30e9c5-52ee-493c-8a7b-97fc62d25cdd,DEPT-47,28,West Daniel,Iowa,French Polynesia
a7824dac-1682-4e26-9bba-d3d7ea559481,DEPT-32,627211,Huntfurt,Kansas,Hong Kong
001607de-602e-4245-923f-03feab3f9020,DEPT-34,30,Stonemouth,Delaware,Congo
fcf3c2eb-025b-4c6e-a502-59e952e1d178,DEPT-78,4068689,West Taylor,Massachusetts,Isle of Man
dd9fc3a8-4da8-458b-b7dd-c51794c0f70b,DEPT-22,63333,Port Amber,New Jersey,Heard Island and McDonald Islands
aa611a06-24cb-4d0b-b472-88c7eb40a537,DEPT-66,1,North Angela,Virginia,Uzbekistan
dd023068-bde6-467c-9602-81829a7b2ccb,DEPT-67,904317,Hugheston,Arizona,Germany
e37f8c06-1d91-476e-b784-480850df3070,DEPT-56,8162,Changburgh,Montana,Thailand
af5d6a0a-cd2e-47ce-9102-57f2a1095fcb,DEPT-09,1,Elizabethland,Vermont,Tonga
168c2c66-dc70-4004-a27a-01810aead726,DEPT-10,638,Lake Gregoryport,Oregon,Nepal
5a836bf6-d6f0-4e04-8268-e69a57eed520,DEPT-55,4617,Port Seanmouth,Texas,Lithuania
4d760649-ba32-4698-9d36-ff7d76deb309,DEPT-12,49336791,Lake Timothyfurt,West Virginia,Samoa
e6a8bb30-581f-444a-89a1-ecefd035bfad,DEPT-37,21,Callahanberg,Mississippi,Saint Helena
cb3edd66-91d1-4325-9fcb-7e40feb4f18a,DEPT-44,8958,New Theresa,Mississippi,China
5ff21d16-5d6f-43d0-983d-51ce8947ed68,DEPT-77,54048901,Martinezburgh,Michigan,Belarus
164cadaa-37d3-46b9-80a0-ef1fec79d76f,DEPT-64,4,Masonville,Minnesota,Slovenia
d9850d15-124e-48e8-b73b-b149649dc77b,DEPT-13,4263033,Erinmouth,New Hampshire,Jersey
97a046df-947f-4686-bbc7-a2bd2b6c4f41,DEPT-53,2314,Andreston,Pennsylvania,American Samoa
239b6990-36b7-4f36-af45-1f58cc0b79eb,DEPT-01,37738,Mayoport,South Carolina,Cyprus
36141e48-241c-4788-950a-2f46ff243a24,DEPT-10,939,North Charleston,Nebraska,Philippines
563c7e3c-40b4-4905-817c-2a9e167ad8cd,DEPT-39,3,Paulshire,South Carolina,Reunion
